
Analog value: 11698, Digital value: 0.
Analog value: 11826, Digital value: 0.
Analog value: 12579, Digital value: 0.
Analog value: 12883, Digital value: 0.
Analog value: 13475, Digital value: 0.
Analog value: 13395, Digital value: 0.
Analog value: 12547, Digital value: 0.
Analog value: 12050, Digital value: 0.
Analog value: 11794, Digital value: 0.
Analog value: 11602, Digital value: 0.
Analog value: 11570, Digital value: 0.
Analog value: 11426, Digital value: 0.
Analog value: 11362, Digital value: 0.
Analog value: 11298, Digital value: 0.
Analog value: 11218, Digital value: 0.
Analog value: 11218, Digital value: 0.
Analog value: 11314, Digital value: 0.
Analog value: 11122, Digital value: 0.
Analog value: 11090, Digital value: 0.
Analog value: 11154, Digital value: 0.
Analog value: 11106, Digital value: 0.
Analog value: 11090, Digital value: 0.
Analog value: 11122, Digital value: 0.
Analog value: 11106, Digital value: 0.
Analog value: 11154, Digital value: 0.
Analog value: 11090, Digital value: 0.
Analog value: 11122, Digital value: 0.
Analog value: 11170, Digital value: 0.
Analog value: 18564, Digital value: 0.
Analog value: 21093, Digital value: 0.
Analog value: 22197, Digital value: 0.
Analog value: 22709, Digital value: 0.
Analog value: 23285, Digital value: 0.
Analog value: 22837, Digital value: 0.
Analog value: 22965, Digital value: 0.
Analog value: 21973, Digital value: 0.
Analog value: 20853, Digital value: 0.
Analog value: 21461, Digital value: 0.
Analog value: 22501, Digital value: 0.
Analog value: 23477, Digital value: 0.
Analog value: 23381, Digital value: 0.
Analog value: 22821, Digital value: 0.
Analog value: 22021, Digital value: 0.
Analog value: 19876, Digital value: 0.

Analog value: 22709, Digital value: 0.
Analog value: 22837, Digital value: 0.
Analog value: 22309, Digital value: 0.
Analog value: 25366, Digital value: 0.
Analog value: 36216, Digital value: 1.
Analog value: 17140, Digital value: 0.
Analog value: 16612, Digital value: 0.
Analog value: 16436, Digital value: 0.
Analog value: 18356, Digital value: 0.
Analog value: 22069, Digital value: 0.

